REGION,DIVISION,STATEFP,STATENS,GEOID,STUSPS,NAME,LSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,confirmed_count,death_count,2020-01-21,2020-01-24,2020-01-26,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-05,2020-02-10,2020-02-12,2020-02-13,2020-02-18,2020-02-20,2020-02-21,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,d2020-01-21,d2020-01-24,d2020-01-26,d2020-01-30,d2020-01-31,d2020-02-01,d2020-02-02,d2020-02-05,d2020-02-10,d2020-02-12,d2020-02-13,d2020-02-18,d2020-02-20,d2020-02-21,d2020-02-24,d2020-02-25,d2020-02-26,d2020-02-27,d2020-02-28,d2020-02-29,d2020-03-01,d2020-03-02,d2020-03-03,d2020-03-04,d2020-03-05,d2020-03-06,d2020-03-07,d2020-03-08,d2020-03-09,d2020-03-10,d2020-03-11,d2020-03-12,d2020-03-13,d2020-03-14,d2020-03-15,d2020-03-16,d2020-03-17,d2020-03-18,d2020-03-19,d2020-03-20,d2020-03-21,d2020-03-22,d2020-03-23,d2020-03-24,d2020-03-25,d2020-03-26,population,ObjectId,Shape__Area,Shape__Length,2020-02-06,2020-01-29,2020-02-08,2020-02-09,2020-01-22,2020-01-25,2020-02-19,2020-02-16,2020-01-27,2020-01-23,2020-02-14,2020-01-28,2020-02-04,2020-02-22,2020-02-15,2020-02-11,2020-02-03,2020-02-23,2020-02-17,2020-02-07
1,1,9,1779780,9,CT,Connecticut,0,G4000,A,1.254262E+10,1.815495E+09,41.57986,-72.74666,1012,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,7,11,3,15,27,29,61,35,30,104,88,203,257,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,3,2,2,7,2,3581504,11,25687086144.2734,695444.761046217,,,,,,,,,,,,,,,,,,,,
3,5,10,1779781,10,DE,Delaware,0,G4000,A,5.047241E+09,1.39867E+09,38.99862,-75.44169,143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,1,1,8,3,11,9,6,11,32,16,15,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,949495,12,10491380523.2617,529326.754973881,,,,,,,,,,,,,,,,,,,,
4,8,35,897535,35,NM,New Mexico,0,G4000,A,3.141914E+11,7.336696E+08,34.43468,-106.1316,136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,3,4,4,2,5,7,8,14,8,18,17,13,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2092434,13,464487839302.227,2885843.6514831,,,,,,,,,,,,,,,,,,,,
4,9,6,1779778,6,CA,California,0,G4000,A,4.034832E+11,2.048464E+10,37.15518,-119.5434,4045,82,0,0,2,0,1,0,3,0,0,0,0,0,1,1,0,0,1,0,1,1,5,7,8,8,14,17,17,15,36,17,23,62,61,78,87,102,147,151,181,213,259,298,426,388,541,873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,5,3,2,3,5,4,7,8,10,14,15,39148760,14,670540690055.531,5112356.29598968,,,,,,,,,,,,,,,,,,,,
1,2,34,1779795,34,NJ,New Jersey,0,G4000,A,1.904972E+10,3.542963E+09,40.10727,-74.6652,6876,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,5,4,8,8,19,20,41,68,71,160,329,151,437,587,930,831,727,2474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2,4,2,5,5,6,17,18,19,8881845,15,38838399266.25,1040978.62886005,,,,,,,,,,,,,,,,,,,,
2,3,55,1779806,55,WI,Wisconsin,0,G4000,A,1.402755E+11,2.935953E+10,44.63091,-89.70939,728,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,11,8,7,14,42,24,47,59,62,101,43,61,150,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,3,4,5778394,16,335483961679.563,2846128.11310604,,,,,,,,,,,,,,,,,,,,
4,9,41,1155107,41,OR,Oregon,0,G4000,A,2.486043E+11,6.195045E+09,43.97171,-120.623,317,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,4,7,0,1,6,9,2,4,3,11,16,8,13,26,24,24,30,23,52,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,3,2,1,4081943,17,491422296795.695,3176008.09757131,,,,,,,,,,,,,,,,,,,,
2,4,31,1779792,31,NE,Nebraska,0,G4000,A,1.98958E+11,1.370524E+09,41.5433,-99.81186,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,5,1,3,2,2,0,6,5,4,6,12,1,12,7,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1904760,18,357956988390.895,2834662.04467595,,,,,,,,,,,,,,,,,,,,
1,2,42,1779798,42,PA,Pennsylvania,0,G4000,A,1.158815E+11,3.397554E+09,40.9025,-77.83345,1809,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,4,2,6,19,6,19,16,30,45,49,105,94,110,183,248,339,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,1,8,2,12791181,19,208801493487.285,2106263.04157709,,,,,,,,,,,,,,,,,,,,
4,9,53,1779804,53,WA,Washington,0,G4000,A,1.721118E+11,1.256007E+10,47.40732,-120.5758,3162,150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7,5,8,12,30,10,24,21,46,104,61,77,98,95,63,173,110,86,210,151,250,236,271,315,130,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,2,3,0,0,5,1,2,2,6,0,7,3,2,8,5,13,6,9,12,0,16,14,8,17,7294336,20,403343355876.969,2874900.60285108,,,,,,,,,,,,,,,,,,,,
